Authors,Title,Year,Description of Reuslts,Pro/Con
"Chatton, et al.","G-computation, propensity score-based methods, and targeted maximum likelihood estimator for causal inference with different covariates sets: a comparative simulation study",2020,"Article compares different semi-parametic approaches, including tmle and matching, but finds G-comp performs relatively best.  Given their simulation, the was predictable because they simulated from a parametric model and used the same model for estimating the regression, thus showing the superiority of maximum likelihood estimation in parametric models.  Thus, not a realistic setting.",Con
Talbot an Beaudoin,A generalized double robust Bayesian model averaging approach to causal effect estimation with application to the Study of Osteoporotic Fractures,2020,"Proposed a Generalized Bayesian Causal Effect Estimation (GBCEE), which outperformed double robust alternatives(including C-TMLE). Also showed target-AIPTW is superior than C-TMLE in a non-realistic setting(only using true confounders). ",Con
Zivich and Breskin,Machine learning for causal inference: on the use of cross-fit estimators,2020,"A simulation study assessing the performance of G-comp, IPW, AIPW, TMLE, DC-AIPW and DC-TMLE. With correctly specified parametric models, all of the estimators performed well. When used with machine learning, the doubly robust cross-fit (DC) estimators outperformed other estimators.",Neutral
"Ju, et al.",Scalable collaborative targeted learning for high-dimensional data,2019,"Results from simulations suggested superior performance of C-TMLE relative to both A-IPTW and non-collaboarative (""standard"") TMLE estimators.",Pro
"Ju, et al.",On adaptive propensity score truncation in causal inference,2019,"By adaptively truncating the estimated propensity score with a more targeted objective function, the Positivity-C-TMLE estimator achieves the best performance for both point estimation and confidence interval coverage among all estimators considered.",Pro
"Bahamyirou, et al.",Understanding and diagnosing the potential for bias when using machine learning methods with doubly robust causal estimators,2019,Simulation results  showed superior performance of C-TMLE and TMLE relative to IPTW estimator,Pro
"Wei, et al.",A Data-Adaptive Targeted Learning Approach of Evaluating Viscoelastic Assay Driven Trauma Treatment Protocols,2019,"CTMLE outperformed the other doubly robust estimators(IPTW,AIPTW,stabilized IPTW,TMLE) in the simulation study.",Pro
"Rudolph, et al.",Complier Stochastic Direct Effects: Identification and Robust Estimation,2019,Showed that the EE and TMLE estimators have advantages over the IPTW estimator in terms of efficiency and reduced reliance on correct parametric model specification ,Pro
Gruber and van der Laan,Collaborative Targeted Maximum Likelihood Estimation to Assess Causal,2018,"Showed superior performance of TMLE (particularly C-TMLE) relative to A-IPTW estimators, particularly when models  Q and g are misspecified.",Pro
"Pirracchio, et al.",Collaborative targeted maximum likelihood estimation for variable importance measure: Illustration for functional outcome prediction in mild traumatic brain injuries,2018,Showed much more robust performance of C-TMLE relative to TMLE using the same type of realistic parametric bootstrap as used in this paper.  This was under severe near positivity violations.,Pro
"Luque‐Fernandez, et al.",Targeted maximum likelihood estimation for a binary treatment: A tutorial,2018,Showed relatively superior performance of TMLE comparing with AIPTW estimator in terms of bias.,Pro
"Levy, et al.",A Fundamental Measure of Treatment Effect Heterogeneity,2018,Showed the advantage of CV-TMLE over TMLE in terms of that TMLE was affected by overfitting while CV-TMLE appeared unaffected.,Pro
Schuler and Rose,Targeted maximum likelihood estimation for causal inference in observational studies,2017,Showed  superior performance of TMLE relative to misspecified  parametric models,Pro
"Pang, et al.",Effect Estimation in Point-Exposure Studies with Binary Outcomes and High-Dimensional Covariate Data--A Comparison of Targeted Maximum Likelihood Estimation and Inverse Probability of Treatment Weighting,2016,"Showed relatively superior performance for the TMLE  to IPTW, which had greater instability when positivity violations occur.",Pro
"Schnitzer, et al.","Variable Selection for Confounder Control, Flexible Modeling and Collaborative Targeted Minimum Loss-Based Estimation in Causal Inference",2016,"Using IPTW with flexible prediction for the propensity score can result in inferior estimation, while TMLE and C-TMLE may benefit from flexible prediction and remain robust to the presence of variables that are highly correlated with treatment. ",Pro
